alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,Smth1,Smth2
 -5.100,-0.5790, 0.00494, 0.00110, 0.0015,0.3655,0.0023,-5.4793, 0.0000, 0.0000, 0.0000, 0.2496
 -5.000,-0.5677, 0.00493, 0.00108, 0.0015,0.3576,0.0023,-5.2841, 0.0000, 0.0000, 0.0000, 0.2496
 -4.900,-0.5564, 0.00490, 0.00105, 0.0014,0.3495,0.0023,-5.0918, 0.0000, 0.0000, 0.0000, 0.2497
 -4.800,-0.5451, 0.00488, 0.00102, 0.0014,0.3448,0.0023,-4.9023, 0.0000, 0.0000, 0.0000, 0.2498
 -4.700,-0.5338, 0.00485, 0.00099, 0.0014,0.3437,0.0023,-4.7158, 0.0000, 0.0000, 0.0000, 0.2499
 -4.600,-0.5225, 0.00484, 0.00097, 0.0014,0.3367,0.0023,-4.5326, 0.0000, 0.0000, 0.0000, 0.2500
 -4.500,-0.5111, 0.00482, 0.00095, 0.0014,0.3281,0.0023,-4.3520, 0.0000, 0.0000, 0.0000, 0.2501
 -4.400,-0.4998, 0.00480, 0.00091, 0.0013,0.3223,0.0023,-4.1732, 0.0000, 0.0000, 0.0000, 0.2502
 -4.100,-0.4658, 0.00475, 0.00085, 0.0013,0.3060,0.0025,-3.6606, 0.0000, 0.0000, 0.0000, 0.2504
 -4.000,-0.4545, 0.00473, 0.00082, 0.0012,0.3000,0.0027,-3.4957, 0.0000, 0.0000, 0.0000, 0.2505
 -3.800,-0.4318, 0.00470, 0.00078, 0.0012,0.2930,0.0031,-3.1752, 0.0000, 0.0000, 0.0000, 0.2506
 -3.700,-0.4204, 0.00469, 0.00076, 0.0012,0.2844,0.0034,-3.0196, 0.0000, 0.0000, 0.0000, 0.2507
 -3.600,-0.4091, 0.00467, 0.00074, 0.0011,0.2782,0.0037,-2.8669, 0.0000, 0.0000, 0.0000, 0.2507
 -3.500,-0.3977, 0.00464, 0.00071, 0.0011,0.2769,0.0040,-2.7174, 0.0000, 0.0000, 0.0000, 0.2508
