  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -19.0250,   3.1730,-11.163, 1.535987, 0.015104, 0.642344, 1.496884,-0.808565, 0.3609, 0.6713, 0.8046, 0.0000
  -18.9728,   3.1730, -9.486, 1.140062, 0.012849, 0.410278, 1.172657,-0.541026, 0.4061, 0.1432, 0.7496, 0.4207
  -18.8687,   3.1730, -9.262, 1.210186, 0.013114, 0.376662, 1.283483,-0.534806, 0.3959, 0.2692, 0.7149, 3.1303
  -18.7128,   3.1730, -9.304, 1.276014, 0.013476, 0.344798, 1.391426,-0.525233, 0.3872, 0.3128, 0.6826,12.1259
  -18.5056,   3.1730, -9.402, 1.338654, 0.013867, 0.313563, 1.493022,-0.517312, 0.3800, 0.3490, 0.6558,33.7476
  -18.2478,   3.1730, -9.445, 1.396367, 0.014213, 0.284467, 1.584923,-0.511699, 0.3744, 0.3966, 0.6346,76.8342
  -17.9399,   3.1730, -9.351, 1.451362, 0.014528, 0.260869, 1.668922,-0.509898, 0.3693, 0.4675, 0.6186,152.7797
  -17.5828,   3.1730, -9.095, 1.506378, 0.014926, 0.244253, 1.748495,-0.512684, 0.3634, 0.5743, 0.6070,275.5661
  -17.1775,   3.1730, -8.707, 1.562554, 0.015264, 0.233503, 1.825723,-0.519446, 0.3581, 0.8120, 0.5986,461.8027
  -16.7252,   3.1730, -8.241, 1.619299, 0.015681, 0.226224, 1.901412,-0.528715, 0.3540, 0.9086, 0.5924,730.7346
  -16.2270,   3.1730, -7.745, 1.675195, 0.016138, 0.220237, 1.974907,-0.538975, 0.3491, 1.0000, 0.5873,1104.1612
  -15.6843,   3.1730, -7.254, 1.728818, 0.016821, 0.214245, 2.045473,-0.549132, 0.3428, 1.0000, 0.5830,1606.2371
  -15.0987,   3.1730, -6.787, 1.779124, 0.017467, 0.207769, 2.111769,-0.558576, 0.3377, 1.0000, 0.5791,2263.1613
  -14.4716,   3.1730, -6.355, 1.825506, 0.017987, 0.200813, 2.173007,-0.567052, 0.3330, 1.0000, 0.5756,3102.7783
  -13.8049,   3.1730, -5.961, 1.867702, 0.018537, 0.193576, 2.229083,-0.574516, 0.3286, 1.0000, 0.5724,4154.1148
  -13.1004,   3.1730, -5.604, 1.905687, 0.019165, 0.186295, 2.279980,-0.581021, 0.3235, 1.0000, 0.5696,5446.8743
  -12.3600,   3.1730, -5.285, 1.939588, 0.019736, 0.179175, 2.325591,-0.586657, 0.3190, 1.0000, 0.5670,7010.9048
  -11.5856,   3.1730, -5.000, 1.969619, 0.020212, 0.172370, 2.366076,-0.591522, 0.3144, 1.0000, 0.5648,8875.6547
  -10.7795,   3.1730, -4.748, 1.996038, 0.020704, 0.165989, 2.401899,-0.595709, 0.3082, 1.0000, 0.5628,11069.6267
   -9.9439,   3.1730, -4.526, 2.019127, 0.021198, 0.160105, 2.433371,-0.599299, 0.3025, 1.0000, 0.5611,13619.8423
   -9.0810,   3.1730, -4.332, 2.039165, 0.021736, 0.154759, 2.460900,-0.602367, 0.2973, 1.0000, 0.5596,16551.3239
   -8.1933,   3.1730, -4.163, 2.056420, 0.022163, 0.149973, 2.484585,-0.604974, 0.2936, 1.0000, 0.5583,19886.6033
   -7.2830,   3.1730, -4.018, 2.071138, 0.022513, 0.145754, 2.504790,-0.607174, 0.2898, 1.0000, 0.5572,23645.2612
   -6.3528,   3.1730, -3.895, 2.083542, 0.022834, 0.142097, 2.521873,-0.609011, 0.2858, 1.0000, 0.5563,27843.5059
   -5.4052,   3.1730, -3.792, 2.093824, 0.023256, 0.138995, 2.536284,-0.610522, 0.2813, 1.0000, 0.5556,32493.7928
   -4.4428,   3.1730, -3.708, 2.102148, 0.023621, 0.136436, 2.547994,-0.611739, 0.2775, 1.0000, 0.5550,37604.4904
   -3.4682,   3.1730, -3.642, 2.108650, 0.023802, 0.134406, 2.556985,-0.612685, 0.2749, 1.0000, 0.5545,43179.5961
   -2.4841,   3.1730, -3.594, 2.113434, 0.023957, 0.132895, 2.563639,-0.613379, 0.2727, 1.0000, 0.5542,49218.5033
   -1.4932,   3.1730, -3.562, 2.116581, 0.024060, 0.131893, 2.568017,-0.613834, 0.2714, 1.0000, 0.5539,55715.8246
   -0.4982,   3.1730, -3.546, 2.118142, 0.024113, 0.131394, 2.570191,-0.614059, 0.2708, 1.0000, 0.5538,62661.2703
