  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -33.6769,   1.1261, -4.712, 1.046359, 0.016573, 0.315119,-6.845114, 0.157382, 0.4896, 0.0484, 0.4027, 0.0000
  -33.5846,   1.1384, -5.435, 1.267503, 0.017612, 0.247529,-7.907031, 0.283766, 0.4463, 0.3866, 0.3210, 0.3199
  -33.4002,   1.1630, -5.430, 1.531407, 0.019409, 0.199399,-9.148643, 0.379179, 0.4110, 0.9756, 0.2870, 3.3048
  -33.1243,   1.1998, -4.750, 1.755527, 0.022470, 0.164246,-9.973832, 0.428713, 0.3864, 1.0000, 0.2782,14.9805
  -32.7576,   1.2487, -3.797, 1.915395, 0.024796, 0.130548,-10.249076, 0.440215, 0.3642, 1.0000, 0.2786,46.3149
  -32.3012,   1.3095, -2.903, 2.019676, 0.026368, 0.099974,-10.064916, 0.424279, 0.3469, 1.0000, 0.2828,113.9590
  -31.7561,   1.3822, -2.211, 2.084284, 0.027775, 0.075865,-9.566444, 0.390181, 0.3266, 1.0000, 0.2890,240.7204
  -31.1241,   1.4665, -1.726, 2.122576, 0.029280, 0.058644,-8.878964, 0.345098, 0.3105, 1.0000, 0.2964,456.0133
  -30.4067,   1.5621, -1.405, 2.143785, 0.030420, 0.047146,-8.093105, 0.294230, 0.2969, 1.0000, 0.3045,796.3606
  -29.6060,   1.6689, -1.205, 2.153861, 0.031342, 0.039937,-7.269939, 0.241165, 0.2815, 1.0000, 0.3128,1305.9289
  -28.7241,   1.7865, -1.090, 2.156543, 0.031287, 0.035812,-6.449132, 0.188285, 0.2736, 1.0000, 0.3211,2037.0445
  -27.7635,   1.9146, -1.035, 2.154169, 0.030425, 0.033877,-5.655454, 0.137100, 0.2721, 1.0000, 0.3292,3050.6346
  -26.7268,   2.0528, -1.023, 2.148203, 0.029094, 0.033500,-4.903562, 0.088517, 0.2735, 1.0000, 0.3371,4416.5390
  -25.6169,   2.2008, -1.042, 2.139561, 0.027993, 0.034249,-4.201264, 0.043025, 0.2743, 1.0000, 0.3446,6213.6432
  -24.4367,   2.3582, -1.085, 2.128815, 0.026649, 0.035824,-3.552046, 0.000836, 0.2755, 1.0000, 0.3518,8529.7891
  -23.1896,   2.5245, -1.145, 2.116308, 0.025636, 0.038023,-2.956318,-0.038026, 0.2793, 1.0000, 0.3586,11461.4235
  -21.8789,   2.6993, -1.220, 2.102227, 0.024809, 0.040708,-2.412789,-0.073650, 0.2830, 1.0000, 0.3651,15112.9541
  -20.5082,   2.8820, -1.307, 2.086643, 0.023610, 0.043783,-1.919200,-0.106199, 0.2882, 1.0000, 0.3712,19595.7859
  -19.0813,   3.0723, -1.404, 2.069536, 0.022699, 0.047185,-1.472472,-0.135874, 0.2916, 1.0000, 0.3771,25027.0188
  -17.6022,   3.2696, -1.511, 2.050802, 0.021814, 0.050871,-1.069512,-0.162895, 0.2936, 1.0000, 0.3828,31527.7965
  -16.0747,   3.4732, -1.627, 2.030252, 0.020836, 0.054811,-0.707225,-0.187487, 0.2962, 1.0000, 0.3883,39221.2980
  -14.5033,   3.6828, -1.752, 2.007601, 0.019972, 0.058979,-0.382621,-0.209875, 0.2991, 1.0000, 0.3937,48230.3732
  -12.8920,   3.8976, -1.885, 1.982447, 0.018995, 0.063350,-0.093130,-0.230279, 0.3047, 1.0000, 0.3992,58674.8222
  -11.2454,   4.1172, -2.026, 1.954221, 0.018190, 0.067882, 0.163543,-0.248917, 0.3076, 1.0000, 0.4048,70668.3186
   -9.5680,   4.3409, -2.172, 1.922120, 0.017478, 0.072499, 0.389059,-0.266020, 0.3092, 1.0000, 0.4107,84314.9643
   -7.8644,   4.5680, -2.319, 1.884978, 0.016426, 0.077038, 0.584257,-0.281849, 0.3133, 1.0000, 0.4172,99705.4394
   -6.1392,   4.7981, -2.454, 1.841019, 0.015626, 0.081135, 0.749240,-0.296755, 0.3171, 1.0000, 0.4247,116912.6533
   -4.3972,   5.0304, -2.547, 1.787279, 0.015028, 0.083868, 0.882222,-0.311269, 0.3213, 0.9878, 0.4338,135986.6705
   -2.6432,   5.2642, -2.517, 1.717727, 0.014332, 0.081896, 0.978053,-0.326097, 0.3259, 0.9697, 0.4460,156948.3149
   -0.8819,   5.4991, -2.005, 1.614298, 0.013440, 0.048039, 1.023607,-0.339252, 0.3366, 0.6976, 0.4630,179779.3743
